campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount/@currencyID|
cac.Item|BG-31|UBL PEPPOL cac.Item|X|1..1||cac:InvoiceLine/cac:Item|
cbc.Description|BT-154|UBL PEPPOL cbc.Description||0..1||cac:InvoiceLine/cac:Item/cbc:Description|
cbc.Name|BT-153|UBL PEPPOL cbc.Name|X|1..1||cac:InvoiceLine/cac:Item/cbc:Name|
cac.BuyersItemIdentification||UBL PEPPOL cac.BuyersItemIdentification||0..1||cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification|
cbc.ID|BT-156|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID|
cac.SellersItemIdentification||UBL PEPPOL cac.SellersItemIdentification||0..1||cac:InvoiceLine/cac:Item/cac:SellersItemIdentification|
cbc.ID|BT-155|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID|
cac.StandardItemIdentification||UBL PEPPOL cac.StandardItemIdentification||0..1||cac:InvoiceLine/cac:Item/cac:StandardItemIdentification|
cbc.ID|BT-157|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID|
@schemeID|BT-157|UBL PEPPOL @schemeID||M||cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID|
cac.OriginCountry||UBL PEPPOL cac.OriginCountry||0..1||cac:InvoiceLine/cac:Item/cac:OriginCountry|
cbc.IdentificationCode|BT-159|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode|
cac.CommodityClassification||UBL PEPPOL cac.CommodityClassification||0..n||cac:InvoiceLine/cac:Item/cac:CommodityClassification|
cbc.ItemClassificationCode|BT-158|UBL PEPPOL cbc.ItemClassificationCode|X|1..1||cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode|
@listID|BT-158|UBL PEPPOL @listID||M||cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID|
@listVersionID||UBL PEPPOL @listVersionID||O||cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID|
cac.ClassifiedTaxCategory|BG-30|UBL PEPPOL cac.ClassifiedTaxCategory|X|1..1||cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory|
cbc.ID|BT-151|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID|
cbc.Percent|BT-152|UBL PEPPOL cbc.Percent||0..1||cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID|
cac.AdditionalItemProperty|BG-32|UBL PEPPOL cac.AdditionalItemProperty||0..n||cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty|
cbc.Name|BT-160|UBL PEPPOL cbc.Name|X|1..1||cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name|
cbc.Value|BT-161|UBL PEPPOL cbc.Value|X|1..1||cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value|
cac.Price|BG-29|UBL PEPPOL cac.Price|X|1..1||cac:InvoiceLine/cac:Price|
cbc.PriceAmount|BT-146|UBL PEPPOL cbc.PriceAmount|X|1..1||cac:InvoiceLine/cac:Price/cbc:PriceAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cac:Price/cbc:PriceAmount/@currencyID|
cbc.BaseQuantity|BT-149|UBL PEPPOL cbc.BaseQuantity||0..1||cac:InvoiceLine/cac:Price/cbc:BaseQuantity|
@unitCode||UBL PEPPOL @unitCode||O||cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode|
cac.AllowanceCharge||UBL PEPPOL cac.AllowanceCharge|X|1..1||cac:InvoiceLine/cac:Price/cac:AllowanceCharge|
cbc.ChargeIndicator||UBL PEPPOL cbc.ChargeIndicator|X|1..1||cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:ChargeIndicator|
cbc.Amount|BT-147|UBL PEPPOL cbc.Amount|X|1..1||cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount|
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount/@currencyID|
cbc.BaseAmount|BT-148|UBL PEPPOL cbc.BaseAmount|X|1..1||cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount/@currencyID|
