campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cbc.Name|BT-41|UBL PEPPOL cbc.Name||0..1||cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name|
cbc.Telephone|BT-42|UBL PEPPOL cbc.Telephone||0..1||cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone|
cbc.ElectronicMail|BT-43|UBL PEPPOL cbc.ElectronicMail||0..1||cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail|
cac.AgentParty|EXT|UBL PEPPOL cac.AgentParty||0..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty|
cac.PostalAddress|EXT|UBL PEPPOL cac.PostalAddress|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress|
cbc.StreetName|EXT|UBL PEPPOL cbc.StreetName|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:StreetName|
cbc.CityName|EXT|UBL PEPPOL cbc.CityName|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CityName|
cbc.PostalZone|EXT|UBL PEPPOL cbc.PostalZone|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:PostalZone|
cbc.CountrySubentity|EXT|UBL PEPPOL cbc.CountrySubentity|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CountrySubentity|
cac.Country|EXT|UBL PEPPOL cac.Country|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cac:Country|
cbc.IdentificationCode|EXT|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:AgentParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode|
cac.ServiceProviderParty|EXT|UBL PEPPOL cac.ServiceProviderParty||0..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty|
cac.Party|EXT|UBL PEPPOL cac.Party|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party|
cac.PartyIdentification|EXT|UBL PEPPOL cac.PartyIdentification||0..2||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyIdentification|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyIdentification/cbc:ID|
cac.PartyName|EXT|UBL PEPPOL cac.PartyName||0..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName|
cbc.Name|EXT|UBL PEPPOL cbc.Name|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name|
cac.PartyTaxScheme|EXT|UBL PEPPOL cac.PartyTaxScheme|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyTaxScheme|
cbc.CompanyID|EXT|UBL PEPPOL cbc.CompanyID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID|
cac.TaxScheme|EXT|UBL PEPPOL cac.TaxScheme|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.Person|EXT|UBL PEPPOL cac.Person||0..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Person|
cbc.FirstName|EXT|UBL PEPPOL cbc.FirstName|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Person/cbc:FirstName|
cbc.FamilyName|EXT|UBL PEPPOL cbc.FamilyName|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Person/cbc:FamilyName|
cac.AccountingCustomerParty|BG-7|UBL PEPPOL cac.AccountingCustomerParty|X|1..1||cac:AccountingCustomerParty|
cac.Party||UBL PEPPOL cac.Party|X|1..1||cac:AccountingCustomerParty/cac:Party|
cbc.EndpointID|BT-49|UBL PEPPOL cbc.EndpointID|X|1..1||cac:AccountingCustomerParty/cac:Party/cbc:EndpointID|
@schemeID|BT-49|UBL PEPPOL @schemeID||M||cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID|
cac.PartyIdentification||UBL PEPPOL cac.PartyIdentification||0..1||cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification|
cbc.ID|BT-46|UBL PEPPOL cbc.ID|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID|
cac.PartyName||UBL PEPPOL cac.PartyName||0..1||cac:AccountingCustomerParty/cac:Party/cac:PartyName|
cbc.Name|BT-45|UBL PEPPOL cbc.Name|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name|
cac.PostalAddress|BG-8|UBL PEPPOL cac.PostalAddress|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress|
cbc.StreetName|BT-50|UBL PEPPOL cbc.StreetName||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName|
cbc.AdditionalStreetName|BT-51|UBL PEPPOL cbc.AdditionalStreetName||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName|
cbc.CityName|BT-52|UBL PEPPOL cbc.CityName||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName|
cbc.PostalZone|BT-53|UBL PEPPOL cbc.PostalZone||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone|
cbc.CountrySubentity|BT-54|UBL PEPPOL cbc.CountrySubentity||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity|
cac.AddressLine||UBL PEPPOL cac.AddressLine||0..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine|
cbc.Line|BT-163|UBL PEPPOL cbc.Line|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line|
cac.Country||UBL PEPPOL cac.Country|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country|
cbc.IdentificationCode|BT-55|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode|
cac.PartyTaxScheme||UBL PEPPOL cac.PartyTaxScheme||0..1||cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme|
cbc.CompanyID|BT-48|UBL PEPPOL cbc.CompanyID|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.PartyLegalEntity||UBL PEPPOL cac.PartyLegalEntity|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity|
cbc.RegistrationName|BT-44|UBL PEPPOL cbc.RegistrationName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName|
cbc.CompanyID|BT-47|UBL PEPPOL cbc.CompanyID||0..1||cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID|
@schemeID|BT-47|UBL PEPPOL @schemeID||M||cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID|
cac.Contact|BG-9|UBL PEPPOL cac.Contact||0..1||cac:AccountingCustomerParty/cac:Party/cac:Contact|
cbc.Name|BT-56|UBL PEPPOL cbc.Name||0..1||cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name|
cbc.Telephone|BT-57|UBL PEPPOL cbc.Telephone||0..1||cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone|
cbc.ElectronicMail|BT-58|UBL PEPPOL cbc.ElectronicMail||0..1||cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail|
cac.AgentParty|EXT|UBL PEPPOL cac.AgentParty||0..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty|
cac.PostalAddress|EXT|UBL PEPPOL cac.PostalAddress|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress|
cbc.StreetName|EXT|UBL PEPPOL cbc.StreetName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:StreetName|
cbc.CityName|EXT|UBL PEPPOL cbc.CityName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CityName|
cbc.PostalZone|EXT|UBL PEPPOL cbc.PostalZone|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:PostalZone|
cbc.CountrySubentity|EXT|UBL PEPPOL cbc.CountrySubentity|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:CountrySubentity|
cac.Country|EXT|UBL PEPPOL cac.Country|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cac:Country|
