campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3442.0,35.0,/IDOC/E1EDP02/BELNR
E1EDP02.DATUM,IDOC,IDOC: Date,SI,1..N,,,3477.0,8.0,/IDOC/E1EDP02/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3485.0,3.0,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3488.0,8.0,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3496.0,3.0,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3499.0,8.0,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3507.0,3.0,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3510.0,8.0,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3518.0,3.0,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3521.0,8.0,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3529.0,3.0,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3532.0,8.0,/IDOC/E1EDP03/DATUM
E1EDP19.QUALF,IDOC object identification suc,IDOC object identification suc,NO,1..N,IF ication suc,,3540.0,3.0,/IDOC/E1EDP19/QUALF
E1EDP19.IDTNR,IDOC material ID,IDOC material ID,NO,1..N,,,3543.0,20.0,/IDOC/E1EDP19/IDTNR
E1EDP19.KTEXT,IDOC short text,IDOC short text,NO,1..N,,,3563.0,40.0,/IDOC/E1EDP19/KTEXT
E1EDP19.IDTNR_LONG,IDOC material ID,IDOC material ID,NO,1..N,,,3603.0,20.0,/IDOC/E1EDP19/IDTNR_LONG
E1EDP05.ALCKZ,Surcharge or discount indicato,Surcharge or discount indicato,NO,1..N,,,3623.0,3.0,/IDOC/E1EDP05/ALCKZ
E1EDP05.KOTXT,Condition text,Condition text,NO,1..N,,,3626.0,14.0,/IDOC/E1EDP05/KOTXT
E1EDP05.BETRG,Fixed surcharge/discount on to,Fixed surcharge/discount on to,NO,1..N,,,3640.0,15.0,/IDOC/E1EDP05/BETRG
E1EDP05.KRATE,Condition record per unit,Condition record per unit,NO,1..N,,,3655.0,20.0,/IDOC/E1EDP05/KRATE
E1EDP05.UPRBS,Price unit,Price unit,NO,1..N,,,3675.0,10.0,/IDOC/E1EDP05/UPRBS
E1EDP05.MEAUN,Unit of measurement,Unit of measurement,NO,1..N,,,3685.0,10.0,/IDOC/E1EDP05/MEAUN
E1EDP05.KOEIN,Currency,Currency,NO,1..N,,,3695.0,10.0,/IDOC/E1EDP05/KOEIN
E1EDP05.KOBAS,Base value to which condition,Base value to which condition,NO,1..N,,,3705.0,10.0,/IDOC/E1EDP05/KOBAS
E1EDP04.MWSKZ,VAT indicator,VAT indicator,NO,1..N,,,3715.0,2.0,/IDOC/E1EDP04/MWSKZ
E1EDP04.MSATZ,VAT rate,VAT rate,NO,1..N,,,3717.0,5.0,/IDOC/E1EDP04/MSATZ
E1EDP04.MWSBT,Value added tax amount,Value added tax amount,NO,1..N,,,3722.0,15.0,/IDOC/E1EDP04/MWSBT
E1EDP04.TXDAT,Date for defining tax rates,Date for defining tax rates,NO,1..N,,,3737.0,20.0,/IDOC/E1EDP04/TXDAT
