campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cac.PartyName|BT-129|UBL PEPPOL field cac.PartyName|||||
cbc.Name|BT-130|UBL PEPPOL field cbc.Name|||||
cac.PartyTaxScheme|BT-131|UBL PEPPOL field cac.PartyTaxScheme|||||
cbc.CompanyID|BT-132|UBL PEPPOL field cbc.CompanyID|||||
cac.TaxScheme|BT-133|UBL PEPPOL field cac.TaxScheme|||||
cbc.ID|BT-134|UBL PEPPOL field cbc.ID|||||
cac.Person|BT-135|UBL PEPPOL field cac.Person|||||
cbc.FirstName|BT-136|UBL PEPPOL field cbc.FirstName|||||
cbc.FamilyName|BT-137|UBL PEPPOL field cbc.FamilyName|||||
cac.AccountingCustomerParty|BT-138|UBL PEPPOL field cac.AccountingCustomerParty|||||
cac.Party|BT-139|UBL PEPPOL field cac.Party|||||
cbc.EndpointID|BT-140|UBL PEPPOL field cbc.EndpointID|||||
@schemeID|BT-141|UBL PEPPOL field @schemeID|||||
cac.PartyIdentification|BT-142|UBL PEPPOL field cac.PartyIdentification|||||
cbc.ID|BT-143|UBL PEPPOL field cbc.ID|||||
@schemeID|BT-144|UBL PEPPOL field @schemeID|||||
cac.PartyName|BT-145|UBL PEPPOL field cac.PartyName|||||
cbc.Name|BT-146|UBL PEPPOL field cbc.Name|||||
