campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,390.0,8.0,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,408.0,2.0,/IDOC/E1EDKA1/LAND1
E1EDKA1.TELF1,1st telephone number of contac,1st telephone number of contac,NO,0..1,,,1431.0,16.0,/IDOC/E1EDKA1/TELF1
E1EDKA1.REGIO,Region,Region,NO,0..1,,,64.0,2.0,/IDOC/E1EDKA1/REGIO
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1450.0,3.0,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,67.0,10.0,/IDOC/E1EDK02/BELNR
E1EDK02.DATUM,IDOC,IDOC: Date,SI,1..1,,,108.0,8.0,/IDOC/E1EDK02/DATUM
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1496.0,3.0,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,67.0,10.0,/IDOC/E1EDK02/BELNR
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1534.0,3.0,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,67.0,10.0,/IDOC/E1EDK02/BELNR
E1EDK02.DATUM,IDOC,IDOC: Date,SI,1..1,,,108.0,8.0,/IDOC/E1EDK02/DATUM
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1580.0,3.0,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,67.0,10.0,/IDOC/E1EDK02/BELNR
