campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1741,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1749,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1752,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1760,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1763,8,/IDOC/E1EDK03/DATUM
E1EDK04.MWSKZ,VAT indicator,VAT indicator,NO,0..1,,,1771,2,/IDOC/E1EDK04/MWSKZ
E1EDK04.MSATZ,VAT rate,VAT rate,NO,0..1,,,1773,5,/IDOC/E1EDK04/MSATZ
E1EDK04.MWSBT,Value added tax amount,Value added tax amount,NO,0..1,,,1778,15,/IDOC/E1EDK04/MWSBT
E1EDK17.QUALF,IDOC qualifier,IDOC qualifier: Terms of deliv,NO,0..1,IF ier: terms of deliv,,1793,3,/IDOC/E1EDK17/QUALF
E1EDK17.LKOND,IDOC delivery condition code,IDOC delivery condition code,NO,0..1,,,1796,3,/IDOC/E1EDK17/LKOND
E1EDK17.QUALF,IDOC qualifier,IDOC qualifier: Terms of deliv,NO,0..1,IF ier: terms of deliv,,1799,3,/IDOC/E1EDK17/QUALF
E1EDK17.LKOND,IDOC delivery condition code,IDOC delivery condition code,NO,0..1,,,1802,3,/IDOC/E1EDK17/LKOND
E1EDK17.LKTEXT,IDOC delivery condition text,IDOC delivery condition text,NO,0..1,,,1805,40,/IDOC/E1EDK17/LKTEXT
E1EDK18.QUALF,IDOC qualifier,IDOC qualifier: Terms of payme,NO,0..1,IF ier: terms of payme,,1845,3,/IDOC/E1EDK18/QUALF
E1EDK18.TAGE,IDOC Number of days,IDOC Number of days,NO,0..1,,,1848,3,/IDOC/E1EDK18/TAGE
E1EDK18.PRZNT,IDOC percentage for terms of p,IDOC percentage for terms of p,NO,0..1,,,1851,5,/IDOC/E1EDK18/PRZNT
E1EDK18.ZTERM_TXT,Text line,Text line,NO,0..1,,,1856,20,/IDOC/E1EDK18/ZTERM_TXT
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,1876,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,1878,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,1889,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,1924,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,1944,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,1962,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,1997,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,1999,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2010,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2045,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2065,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2083,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2118,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2120,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2131,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2166,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2186,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2204,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2239,20,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2259,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2261,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2272,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2307,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2327,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2345,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2380,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2382,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2393,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2428,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2448,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2466,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2501,20,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2521,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2523,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2534,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2569,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2589,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2607,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2642,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2644,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2655,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2690,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2710,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2728,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2763,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2765,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2776,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2811,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2831,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2849,35,/IDOC/E1EDK28/ACNAM
E1EDK28.BIBAN,IBAN,IBAN (International Bank Accou,NO,0..1,,,2884,20,/IDOC/E1EDK28/BIBAN
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,2904,2,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,2906,11,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,2917,35,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,2952,20,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,2972,18,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,2990,35,/IDOC/E1EDK28/ACNAM
E1EDK29.LAND1,Country Key,Country Key,NO,0..1,,,3025,2,/IDOC/E1EDK29/LAND1
E1EDKT1.TDID,Text ID,Text ID,NO,0..1,,,3027,4,/IDOC/E1EDKT1/TDID
E1EDKT1.TSSPRAS,Language Key,Language Key,NO,0..1,,,3031,2,/IDOC/E1EDKT1/TSSPRAS
E1EDKT1.TSSPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,3033,20,/IDOC/E1EDKT1/TSSPRAS_ISO
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3053,3,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3056,20,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3076,3,/IDOC/E1EDK14/QUALF
