segmento completo,Description,offset,lunghezza,valore rilevato
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,,,
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,,,
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,,,
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,,,
E1EDP01.SEGNUM,Segment Number,,,
E1EDP01.SEGNAM,Segment Name,,,
E1EDP01.POSEX,Item number,,,
E1EDP01.MENGE,Quantity,,,
E1EDP01.MENEE,Unit of measure,,,
E1EDP01.NTGEW,Net weight,,,
E1EDP01.GEWEI,Weight unit,,,
E1EDP01.BRGEW,Total weight,,,
E1EDP01.PSTYV,Sales document item category,,,
E1EDP01.WERKS,Plant,,,
E1EDP02.SEGNUM,Segment Number,,,
E1EDP02.SEGNAM,Segment Name,,,
E1EDP02.QUALF,IDOC qualifier reference docum,,,
E1EDP02.SEGNUM,Segment Number,,,
E1EDP02.SEGNAM,Segment Name,,,
E1EDP02.QUALF,IDOC qualifier reference docum,,,
E1EDP02.BELNR,IDOC document number,,,
E1EDP02.ZEILE,Item number,,,
E1EDP02.SEGNUM,Segment Number,,,
E1EDP02.SEGNAM,Segment Name,,,
E1EDP02.QUALF,IDOC qualifier reference docum,,,
E1EDP02.BELNR,IDOC document number,,,
E1EDP02.ZEILE,Item number,,,
E1EDP02.DATUM,IDOC: Date,,,
E1EDP02.SEGNUM,Segment Number,,,
E1EDP02.SEGNAM,Segment Name,,,
E1EDP02.QUALF,IDOC qualifier reference docum,,,
E1EDP02.BELNR,IDOC document number,,,
E1EDP02.SEGNUM,Segment Number,,,
E1EDP02.SEGNAM,Segment Name,,,
E1EDP02.QUALF,IDOC qualifier reference docum,,,
E1EDP02.BELNR,IDOC document number,,,
E1EDP02.DATUM,IDOC: Date,,,
E1EDP03.SEGNUM,Segment Number,,,
E1EDP03.SEGNAM,Segment Name,,,
E1EDP03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDP03.DATUM,Date,,,
E1EDP03.SEGNUM,Segment Number,,,
E1EDP03.SEGNAM,Segment Name,,,
E1EDP03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDP03.DATUM,Date,,,
E1EDP03.SEGNUM,Segment Number,,,
E1EDP03.SEGNAM,Segment Name,,,
E1EDP03.IDDAT,Qualifier for IDOC date segmen,,,
